Stock Name,Date,Open,High,Low,Close,Volume,Chg%
Grasim Industries Ltd.,2021-05-25 00:00:00,1372.05,1391.19,1346.4,1366.98,3090000.0,0.3
Power Grid Corporation of India Ltd.,2020-12-22 00:00:00,102.8,105.91,102.55,105.49,23930000.0,2.59
State Bank Of India,2020-12-22 00:00:00,254.8,258.7,248.25,257.45,51190000.0,1.08
Grasim Industries Ltd.,2021-03-15 00:00:00,1381.0,1383.89,1339.24,1376.13,970930.0,0.33
Tech Mahindra Ltd.,2020-06-01 00:00:00,538.5,554.8,537.05,543.55,4910000.0,2.47
Oil And Natural Gas Corporation Ltd.,2023-04-13 00:00:00,158.15,160.5,158.0,158.75,11610000.0,0.7
Tata Consultancy Services Ltd.,2021-02-09 00:00:00,3195.0,3245.8,3164.0,3176.9,2660000.0,-1.16
Hindalco Industries Ltd.,2022-10-11 00:00:00,403.0,412.45,393.9,396.05,7050000.0,-2.81
Wipro Ltd.,2020-12-22 00:00:00,354.0,365.7,349.45,364.2,8190000.0,2.9
LTIMindtree Ltd.,2023-01-06 00:00:00,4250.0,4279.45,4180.0,4197.6,264200.0,-1.47
Bharat Petroleum Corp. Ltd.,2022-06-03 00:00:00,330.6,332.0,327.1,328.15,4970000.0,-0.36
Nestle India Ltd.,2021-06-03 00:00:00,17650.0,17854.95,17560.0,17799.4,50400.0,0.83
HCL Technologies Ltd.,2020-11-09 00:00:00,857.42,863.35,837.93,845.74,7510000.0,0.58
HDFC Bank Ltd.,2023-10-16 00:00:00,1531.5,1534.45,1520.5,1529.6,8930000.0,-0.4
Apollo Hospitals Enterprises Ltd.,2022-06-07 00:00:00,3633.7,3633.7,3525.0,3609.3,490550.0,-0.67
NTPC Ltd.,2021-04-26 00:00:00,103.95,103.95,100.85,102.4,24370000.0,-0.15
Divi's Laboratories Ltd.,2019-12-20 00:00:00,1834.0,1834.0,1795.0,1818.0,725070.0,-0.6
ITC Ltd.,2021-07-07 00:00:00,202.5,205.2,202.3,203.75,17880000.0,0.62
State Bank Of India,2022-05-13 00:00:00,469.45,477.0,439.75,444.65,61400000.0,-3.89
State Bank Of India,2023-09-08 00:00:00,581.0,588.5,579.7,583.45,14030000.0,0.76
Hero MotoCorp Ltd.,2020-07-03 00:00:00,2676.19,2746.09,2673.79,2734.36,2640000.0,2.5
Nestle India Ltd.,2021-05-21 00:00:00,17385.35,17550.0,17280.25,17497.1,67260.0,1.23
Bajaj Finance Ltd.,2020-08-06 00:00:00,3292.0,3378.8,3255.0,3345.2,8170000.0,2.55
Bharat Petroleum Corp. Ltd.,2021-08-25 00:00:00,425.29,431.23,424.59,427.79,4850000.0,0.94
ITC Ltd.,2023-08-04 00:00:00,456.3,461.4,454.25,454.95,6830000.0,-0.24
HDFC Life Insurance Company Ltd.,2019-12-23 00:00:00,615.1,621.0,609.0,616.15,2330000.0,0.56
HDFC Life Insurance Company Ltd.,2020-08-11 00:00:00,609.85,613.9,606.1,608.75,1540000.0,-0.02
State Bank Of India,2021-10-19 00:00:00,500.35,504.2,483.25,488.2,20650000.0,-1.96
Hero MotoCorp Ltd.,2022-12-05 00:00:00,2810.0,2832.9,2785.65,2827.65,397710.0,0.26
Titan Company Ltd.,2022-04-19 00:00:00,2509.4,2520.6,2441.0,2452.6,929830.0,-1.64
Reliance Industries Ltd.,2023-08-10 00:00:00,2524.95,2550.0,2508.45,2536.45,7740000.0,0.45
Tata Consultancy Services Ltd.,2019-10-17 00:00:00,2014.0,2038.0,1999.3,2030.95,3820000.0,1.22
Tata Motors Ltd.,2020-07-02 00:00:00,100.75,102.95,100.4,101.55,48090000.0,0.79
State Bank Of India,2020-06-24 00:00:00,194.8,194.9,183.9,184.6,74670000.0,-4.08
SBI Life Insurance Company Ltd.,2021-05-03 00:00:00,921.95,980.0,916.05,958.6,5420000.0,3.22
SBI Life Insurance Company Ltd.,2023-07-31 00:00:00,1296.95,1296.95,1270.0,1282.15,1060000.0,-0.59
Axis Bank Ltd.,2021-06-24 00:00:00,735.9,742.95,731.1,739.15,5310000.0,0.93
